dataset,n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr
corners3d,2,1,0,0.1704674396076803,0.74,0.664,0.05,0.1140321676127354,0.84,0.76,0.0181027186930845,0.1943994533632365,0.714,0.672,0.0043397104196623
corners3d,2,5,2,0.140193423122374,0.808,0.684,0.05,0.120640487259728,0.832,0.828,0.0006581396677535,0.1589614288358765,0.78,0.704,0.0003209154958105
corners3d,2,5,3,0.1501561028139284,0.792,0.724,0.05,0.1115137928112783,0.848,0.836,0.0003453048320877,0.1433876905847712,0.818,0.768,0.0001734692987478
corners3d,2,5,4,0.1462899079967821,0.766,0.704,0.05,0.1136599583414661,0.832,0.82,0.000384067369977,0.1690352589727593,0.76,0.716,0.0003387070080275
corners3d,2,6,0,0.135675259826244,0.81,0.708,0.05,0.0967087085100766,0.896,0.772,0.0003053281688847,0.1561453840421085,0.788,0.672,0.0002775563657653
corners3d,2,6,1,0.1480008993228934,0.776,0.7,0.05,0.1064406496315651,0.854,0.788,0.0001836307569876,0.1495533888107439,0.786,0.724,0.0002863782149076
corners3d,2,6,2,0.1454277207052646,0.786,0.704,0.05,0.1190061961861227,0.832,0.804,0.0002157993545622,0.1612594542903533,0.786,0.736,0.0001169319431178
corners3d,2,6,4,0.1518789649787927,0.784,0.748,0.05,0.1084690165203125,0.852,0.804,0.0002411929048416,0.1678351160933204,0.742,0.704,0.0004951274116167
corners3d,2,5,1,0.1508529231784605,0.79,0.732,0.05,0.1074053054208831,0.856,0.824,0.0001768209643471,0.1584773609905485,0.782,0.708,0.0002579411521726
corners3d,2,7,0,0.1339032573780711,0.828,0.684,0.05,0.0930611663173725,0.888,0.788,0.000296176477581,0.1505636305364623,0.784,0.712,0.0001086801579673
corners3d,2,7,2,0.1377760410966054,0.812,0.648,0.05,0.1074680682253949,0.858,0.816,0.00027757107912,0.1528453121864001,0.778,0.7,0.000296297667107
corners3d,2,7,3,0.1457507889664303,0.772,0.712,0.05,0.1046381510758559,0.864,0.832,0.0001445852566579,0.1685829368561937,0.754,0.732,0.0002882648356093
corners3d,2,7,4,0.1563254174675814,0.772,0.68,0.05,0.0997068700577633,0.874,0.836,0.000397567220521,0.1593737386359084,0.774,0.752,0.0002994953391484
corners3d,2,8,0,0.1410966674108995,0.794,0.72,0.05,0.099555428993984,0.87,0.748,0.0002397098320984,0.1463608374649513,0.794,0.664,0.00027739956543
