dataset,n_qubits,n_layers,gate_train_loss_mean,gate_train_loss_std,gate_train_loss_min,gate_train_loss_max,gate_acc_train_mean,gate_acc_train_std,gate_acc_train_min,gate_acc_train_max,gate_acc_test_mean,gate_acc_test_std,gate_acc_test_min,gate_acc_test_max,gate_lr_mean,gate_lr_std,gate_lr_min,gate_lr_max,pulsed_train_loss_mean,pulsed_train_loss_std,pulsed_train_loss_min,pulsed_train_loss_max,pulsed_acc_train_mean,pulsed_acc_train_std,pulsed_acc_train_min,pulsed_acc_train_max,pulsed_acc_test_mean,pulsed_acc_test_std,pulsed_acc_test_min,pulsed_acc_test_max,pulsed_lr_mean,pulsed_lr_std,pulsed_lr_min,pulsed_lr_max,mixed_train_loss_mean,mixed_train_loss_std,mixed_train_loss_min,mixed_train_loss_max,mixed_acc_train_mean,mixed_acc_train_std,mixed_acc_train_min,mixed_acc_train_max,mixed_acc_test_mean,mixed_acc_test_std,mixed_acc_test_min,mixed_acc_test_max,mixed_lr_mean,mixed_lr_std,mixed_lr_min,mixed_lr_max
fashion,2,3,0.08489767958324494,0.015463513862400654,0.0651017237301541,0.1052091237919772,0.8960000000000001,0.019646882704388528,0.864,0.916,0.8064,0.081417442848569,0.712,0.904,0.05,0.0,0.05,0.05,0.10315598730828783,0.008729313717891976,0.0940292966806634,0.1138732900706717,0.8724000000000001,0.01479188966968048,0.85,0.89,0.8151999999999999,0.061475198251001985,0.736,0.872,0.0005166897830512,0.00032016902846624025,0.0001718906834115,0.0009218594489515,0.09792654487842292,0.010961307723223887,0.0875427179806598,0.1143822635684768,0.8792,0.0108258948821795,0.866,0.892,0.7936,0.0655194627572602,0.716,0.892,0.0006781329972578201,0.0004586990819758493,0.0001845539939251,0.0013235494848555
fashion,2,4,0.0861950048096451,0.018920708155759847,0.0615945019990389,0.1084673022275025,0.8916000000000001,0.02815670435260493,0.852,0.924,0.7984,0.07481176378083863,0.712,0.892,0.05,0.0,0.05,0.05,0.09866854499549657,0.015729328556019846,0.0786784212225993,0.1225211862939379,0.8736,0.022908513701242188,0.836,0.898,0.7984,0.06925893444170217,0.716,0.884,0.0003381803701463,0.0002667708091839178,0.0001390893270342,0.0007673113183167,0.09692190258344682,0.018649189139892875,0.0720616839510446,0.1222381098402514,0.8724000000000001,0.031349641146271555,0.826,0.906,0.7535999999999999,0.06378714604056213,0.664,0.832,0.00052686208471354,0.000332264514544251,0.0001997099192176,0.0009621767897368
fashion,2,5,0.08142035145807527,0.01562109793743616,0.0643594733365549,0.1044828191613256,0.8992000000000001,0.020717142660125705,0.866,0.92,0.7936,0.06678922068717376,0.732,0.888,0.05,0.0,0.05,0.05,0.09258823480987435,0.014267581027132787,0.0769799356360541,0.1116440899219829,0.8844,0.02666083269517292,0.844,0.918,0.8064,0.0522761896086545,0.752,0.88,0.00045202844591816,0.00019795430417874585,0.0002937823356939,0.0007905279276214,0.09187674555087608,0.018931362488000994,0.069091516420672,0.1185223463279292,0.8855999999999999,0.02639696952303429,0.854,0.924,0.7368,0.08252999454743712,0.652,0.844,0.00075646221197364,0.00030221158209988336,0.0002952980687273,0.0010758728047167
fashion,2,6,0.08408969998248028,0.015911855804293745,0.0639973010886894,0.1080505284638108,0.8956,0.027033312782565173,0.852,0.924,0.7736,0.04763192206913345,0.72,0.824,0.05,0.0,0.05,0.05,0.09027498252176348,0.015267990978128369,0.0727804740705726,0.1145082546997319,0.8952,0.022917242417009966,0.866,0.928,0.8048,0.03615522092312529,0.764,0.84,0.00026587921787757536,0.0001382949401330276,9.365762223207691e-05,0.0004733643619875,0.09375104386241737,0.019032149814949353,0.0715557490453903,0.1179665134347154,0.8836,0.032199378875997005,0.846,0.924,0.76,0.08039900496896715,0.66,0.86,0.0003625403883748738,0.0003677972968954034,8.81489178394689e-05,0.0010037041995224
fashion,2,7,0.08420585557041707,0.013349275044355286,0.0674339797555335,0.1025262610600605,0.89,0.01870828693386972,0.86,0.908,0.7992,0.06999428548103058,0.7,0.896,0.05,0.0,0.05,0.05,0.0883475451117072,0.012631722143772837,0.0759404735680849,0.1087291035689322,0.8912000000000001,0.017697457444503184,0.86,0.902,0.772,0.03847076812334267,0.732,0.824,0.00012797429964631884,3.532066438563791e-05,8.68697239542651e-05,0.0001740911688524,0.09297905864407208,0.016323305972741915,0.074107341981907,0.1190081750378489,0.8876,0.020851858430365404,0.858,0.916,0.7744,0.06484442921331025,0.688,0.856,0.00025665052669786,0.00015289130413008868,0.0001176608306621,0.0004902180296621
fashion,2,8,0.08341448321355302,0.01230817973516332,0.0723052856584325,0.1040668045950512,0.8976000000000001,0.01925616784305748,0.872,0.924,0.792,0.058514955353311165,0.704,0.856,0.05,0.0,0.05,0.05,0.08628873756367333,0.013449927210154505,0.0705783174567963,0.1067629124703115,0.898,0.028106938645110414,0.854,0.93,0.7976,0.048957124098541555,0.74,0.856,0.00025295914503211997,9.278450760759181e-05,0.0001876245346355,0.0004162778588752,0.09049603026355496,0.01787016978375013,0.0660566864190695,0.1153947422836871,0.8888,0.030351276744150345,0.848,0.932,0.692,0.09541488353501246,0.576,0.824,0.00032393262874134,0.0001452644466159161,0.0001045306557119,0.0004575904718005
digits,1,1,0.2460274812450634,0.02808380712835339,0.2212299412419987,0.2847302820761813,0.6288,0.031131977129633153,0.598,0.662,0.5952,0.06808230313378066,0.496,0.676,0.05,0.0,0.05,0.05,0.14824072818872222,0.010860032042814442,0.1377254981255229,0.1639390513271526,0.8028000000000001,0.02274203157151971,0.77,0.83,0.8032,0.02583021486554068,0.776,0.836,0.016000745392581,0.0196693221367904,0.000285354189344,0.0465773851151822,0.24531161629258538,0.02777492985758233,0.2195850417355024,0.2819919796987615,0.6176,0.059989999166527745,0.542,0.688,0.6056,0.06168306088384394,0.528,0.688,0.013830566682920906,0.019113690694949455,5.433747668742716e-05,0.0465441203107285
digits,1,2,0.16536763720569742,0.017896555390478932,0.140642739905689,0.1889185153373645,0.788,0.04042276586281546,0.724,0.82,0.7944,0.051115555362335655,0.724,0.848,0.05,0.0,0.05,0.05,0.10986823039608704,0.01684193481472995,0.0941268989506516,0.1322850140971878,0.8596,0.03099677402569502,0.824,0.888,0.8568,0.04537840896285368,0.804,0.916,0.0053621862682239,0.004423646798968823,0.0024512941590147,0.0129732912517044,0.1846132707319328,0.011335312550958083,0.1739916139559054,0.2007480691390797,0.7476,0.016334013591276342,0.724,0.764,0.7504,0.022908513701242195,0.732,0.788,0.0013968052405032801,0.0014288077130711445,0.0001254152720166,0.0037455710965211
digits,1,3,0.17098323587038994,0.019842644132702838,0.143400238521812,0.1860605044004675,0.7664,0.028192197502145893,0.742,0.798,0.7576,0.03672601257964172,0.704,0.796,0.05,0.0,0.05,0.05,0.11010580645158433,0.016050541017384994,0.09050741039435,0.1350076445732662,0.8640000000000001,0.035298725189445566,0.808,0.896,0.8656,0.03493994848307597,0.82,0.912,0.00137832010408772,0.0008634344981252878,0.000489193749125,0.0025741245072268,0.1602151355084535,0.02258140263028332,0.1307625162906603,0.1806630137717285,0.7844,0.0389974358131403,0.752,0.828,0.776,0.03655133376499415,0.732,0.832,0.00121200887485876,0.0009404748480806513,0.0006580992395883,0.0028874866987927
digits,1,4,0.14784339846174469,0.017014979872051278,0.1307123574516439,0.1664979319157258,0.8028000000000001,0.028691462144686847,0.772,0.828,0.7856,0.05048564152311034,0.716,0.84,0.05,0.0,0.05,0.05,0.10389439392261327,0.017425368406498717,0.081550840012278,0.1242629244961516,0.8708,0.027480902459708287,0.844,0.908,0.8648,0.0314197390186488,0.824,0.912,0.00145683907374538,0.001023073225488352,0.0003654729734996,0.002843487862233,0.15769941156064374,0.014359885337621855,0.1424629920422949,0.1779107195241427,0.788,0.03481379037105842,0.746,0.834,0.772,0.04069397989875161,0.72,0.828,0.0007065312305235599,0.00045796048342680985,0.0001239672189189,0.0013914632827851
