n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr
1,8,1,0.2463086238235977,0.628,0.536,0.05,0.1772806399885156,0.73,0.656,0.0002536714575568,0.245613457523536,0.636,0.54,0.0003392472010608
1,8,2,0.2633877133256085,0.562,0.5,0.05,0.1979337257369811,0.69,0.644,0.000434749793049,0.2595894904412885,0.6,0.508,0.0001101957952208
1,8,3,0.2398736294345761,0.622,0.484,0.05,0.2042929771669751,0.714,0.616,0.0001194207832139,0.2527315269603017,0.618,0.5,0.0001827190210373
1,8,4,0.2588997931394374,0.588,0.528,0.05,0.204399514258213,0.682,0.628,0.0006234630020945,0.2666811755260965,0.548,0.5,0.0001049996709284
2,1,0,0.242721682701181,0.576,0.548,0.05,0.218244490215581,0.644,0.596,0.0015032076172613,0.2509329706503127,0.578,0.548,0.001129260907326
2,1,1,0.2417826345154237,0.6,0.536,0.05,0.2182699879227384,0.678,0.696,0.0018679263595515,0.2453307638326985,0.568,0.512,0.0021294522739985
2,1,2,0.2446895612234897,0.56,0.512,0.05,0.2163272683112886,0.662,0.652,0.0033928499267648,0.2450134383118637,0.544,0.52,0.0031837817649818
2,1,3,0.2424677548405752,0.568,0.572,0.05,0.223366334408695,0.62,0.624,0.0005344048951775,0.2553465719343274,0.548,0.536,0.009649146191558
2,1,4,0.2414751080136753,0.586,0.556,0.05,0.2273474814100872,0.6,0.616,0.0481504746463001,0.2673227165285106,0.56,0.528,0.0011784139282166
2,2,0,0.2331881328900263,0.616,0.556,0.05,0.1980966394916897,0.688,0.676,0.0005875427260978,0.2433613550012081,0.592,0.56,0.0008157447107315
2,2,1,0.242324035047198,0.606,0.536,0.05,0.2002613209491235,0.696,0.696,0.0012635038757417,0.2651712027046552,0.566,0.524,0.0009924620561327
2,2,2,0.2462767681832456,0.572,0.572,0.05,0.1971782696939805,0.69,0.72,0.0008952657228953,0.2543329850090535,0.548,0.564,9.15870738884517e-05
2,2,3,0.2427791449479809,0.586,0.468,0.05,0.1965553215798065,0.706,0.668,0.0005369512193893,0.2324223837196126,0.6,0.572,0.0003804431844
2,2,4,0.2317431691976505,0.626,0.512,0.05,0.2131798609991013,0.622,0.64,0.0004665836393847,0.2594966818490118,0.536,0.504,0.0001151228363376
2,3,0,0.2316880374439314,0.604,0.524,0.05,0.1879777095130473,0.726,0.664,0.0003975470264832,0.2402440896160098,0.598,0.532,0.0002541854344028
2,3,1,0.2318505593670485,0.626,0.528,0.05,0.1785766357793932,0.714,0.672,0.0006293435673141,0.2422823537294006,0.578,0.58,0.0002977374520511
2,3,2,0.2259694161576222,0.626,0.452,0.05,0.1842812431125613,0.742,0.728,0.00031395373372,0.2345424012370738,0.61,0.492,0.0001806376817072
2,3,3,0.227475313536884,0.616,0.512,0.05,0.1812585565976963,0.738,0.708,0.0002466720631911,0.2390588039382616,0.598,0.44,0.0006168158552783
2,3,4,0.2363588236193323,0.616,0.52,0.05,0.2071921395012,0.682,0.668,0.0006506586591354,0.2500907269284633,0.584,0.52,0.0001955372600332
2,4,0,0.2210881521003538,0.644,0.516,0.05,0.1785290770355915,0.754,0.676,0.0001356972465081,0.2347789515417115,0.626,0.548,0.0006531348341005
2,4,1,0.2306218157722546,0.632,0.516,0.05,0.165793786281549,0.756,0.684,0.0003318824698005,0.2415476447468202,0.612,0.58,0.0002483854106868
2,4,2,0.2153365750800905,0.634,0.496,0.05,0.1796519210163181,0.73,0.736,0.0003142829464863,0.2346124089452508,0.62,0.544,0.0001767440197168
2,4,3,0.2282915646987904,0.616,0.504,0.05,0.1776481954183303,0.746,0.712,0.0004165012573167,0.228781485137597,0.632,0.524,0.0002721594611047
2,4,4,0.2329326872539358,0.62,0.504,0.05,0.1952393941230289,0.73,0.62,8.267433540980728e-05,0.2451591977066258,0.578,0.552,0.0005265250955716
2,5,0,0.2123919999112314,0.65,0.532,0.05,0.1820260458745045,0.738,0.652,0.0002045077362692,0.2234898732025921,0.67,0.544,0.0003289580054523
2,5,1,0.2221485449086218,0.646,0.512,0.05,0.1574023569144655,0.786,0.72,0.0006013374633307,0.2396058809947135,0.606,0.504,0.000156737656789
2,5,2,0.233482366394313,0.656,0.496,0.05,0.1751781964334488,0.74,0.692,0.0003946250719614,0.2281857452128229,0.67,0.472,0.0002688300935992
2,5,3,0.2022087613960908,0.698,0.476,0.05,0.1758535380284351,0.76,0.704,0.000386380113598,0.2145186806072523,0.66,0.484,0.0001796357359318
2,5,4,0.2214568575944025,0.656,0.54,0.05,0.1847962571534679,0.704,0.704,0.0001862859446327,0.2262667521372554,0.644,0.516,0.0002500173118263
2,6,0,0.2243226960847093,0.654,0.576,0.05,0.1737840927262983,0.756,0.68,0.0001334644930006,0.2343508091835245,0.606,0.504,0.0002399338340969
2,6,1,0.2123245224377111,0.666,0.528,0.05,0.1678556999486645,0.746,0.704,0.0003046595612104,0.2353591449490465,0.594,0.528,0.0001664559966238
2,6,2,0.2141229546398208,0.682,0.516,0.05,0.1764907439271029,0.73,0.672,0.0002411999717516,0.2326177034083035,0.616,0.52,0.0001104327573788
2,6,3,0.2149819846219472,0.654,0.484,0.05,0.1742827743071502,0.748,0.696,0.000222218025607,0.2214810683747662,0.666,0.552,0.0003165449981214
2,6,4,0.2052653474068912,0.672,0.564,0.05,0.1588769033934268,0.768,0.744,0.0002945615059686,0.2210177360106449,0.658,0.496,0.0001852278921849
2,7,0,0.2142081708843315,0.664,0.496,0.05,0.1622118964498644,0.784,0.716,9.237141128337472e-05,0.2221528905979259,0.654,0.452,0.0001975686691896
2,7,1,0.2135318212985145,0.682,0.508,0.05,0.1630993176862394,0.762,0.652,0.0002837639834543,0.2259619723833951,0.642,0.548,0.0003445876599177
2,7,2,0.2027555481486703,0.684,0.5,0.05,0.1523287808093837,0.778,0.692,0.0004609068724911,0.224347338475958,0.628,0.488,0.0001955875082624
2,7,3,0.2020238080961988,0.676,0.54,0.05,0.167638418778561,0.778,0.728,0.0001931212251953,0.2153715304747265,0.652,0.532,0.0003391395199231
2,7,4,0.2178781051342296,0.648,0.528,0.05,0.1745954215769896,0.754,0.72,0.0001300916820556,0.2178943526977936,0.656,0.528,0.0001405596014233
2,8,0,0.2053060509841395,0.682,0.54,0.05,0.1614679878563863,0.774,0.692,0.0003307003427808,0.2101308915622673,0.68,0.484,0.0002506067948203
2,8,1,0.2088000868490157,0.664,0.516,0.05,0.1538958795444457,0.768,0.724,0.0002057199089564,0.2217242035605303,0.664,0.476,8.485093468390033e-05
2,8,2,0.2194531860700171,0.656,0.468,0.05,0.1639078394794352,0.766,0.748,0.0001277129947333,0.2126359436922077,0.662,0.48,8.770357808115048e-05
