n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr
1,8,1,0.1249573386346145,0.83,0.804,0.05,0.1011196611954789,0.872,0.868,8.070538849161183e-05,0.1319521464627771,0.83,0.796,0.0002020770920356
1,8,2,0.1555284185810711,0.778,0.772,0.05,0.0988416776236363,0.872,0.86,0.0009428796831409,0.1648715592434456,0.786,0.724,8.297291203600647e-05
1,8,3,0.1794095666195783,0.748,0.752,0.05,0.1155646627503912,0.848,0.844,0.0006648557547345,0.1843366121130128,0.738,0.692,0.00034428725124
1,8,4,0.1185865813067016,0.842,0.796,0.05,0.0790090999014156,0.904,0.904,6.851690181044427e-05,0.1430402669689691,0.828,0.752,0.0007788859990678
2,1,0,0.2317678902615728,0.638,0.644,0.05,0.1316226338826768,0.782,0.728,0.0027190650700768,0.2440726559043354,0.61,0.632,0.0003053984965605
2,1,1,0.2125944623088012,0.678,0.692,0.05,0.1076853322187335,0.868,0.888,5.014025507140625e-05,0.2110895995547283,0.672,0.676,0.0029951849008432
2,1,2,0.2280244487620821,0.628,0.704,0.05,0.1337125636094725,0.828,0.808,0.0015414673919341,0.2337773189253389,0.632,0.688,0.0005311388037083
2,1,3,0.198607140390041,0.708,0.56,0.05,0.1374464681767699,0.808,0.796,0.0013578687303419,0.220937366365041,0.686,0.52,0.0001860387283794
2,1,4,0.2054009951183287,0.7,0.604,0.05,0.0852236139805562,0.898,0.88,0.0113421143719508,0.2165657818617197,0.62,0.568,0.0013600627447907
2,2,0,0.1365290720591452,0.832,0.868,0.05,0.0853811613290606,0.89,0.908,0.0017523754980074,0.1328271029664188,0.834,0.84,0.0010951035482337
2,2,1,0.1323535751947605,0.82,0.856,0.05,0.1053683127449686,0.864,0.868,0.0008218844233499,0.1442162289225053,0.82,0.832,0.0008930331288381
2,2,2,0.1528345013694732,0.784,0.8,0.05,0.10636511950271,0.88,0.88,0.0021460280021371,0.1468664879282918,0.788,0.796,0.0003930658014305
2,2,3,0.1554212385779671,0.8,0.76,0.05,0.0988128682236861,0.868,0.872,0.0009826775681857,0.1653512438271121,0.774,0.756,0.0003262963114363
2,2,4,0.143463524963094,0.826,0.832,0.05,0.0899779348056234,0.9,0.904,0.0008687838161542,0.1618147735837306,0.812,0.812,0.0001068297506813
2,3,0,0.1157123845945229,0.86,0.86,0.05,0.0753441266670525,0.934,0.924,0.0004265982035585,0.1352591270020706,0.838,0.86,0.0011744389983363
2,3,1,0.1157411789841777,0.854,0.832,0.05,0.0823642016557982,0.904,0.908,0.0005350810445389,0.120663369544106,0.844,0.808,0.0008627023398124
2,3,2,0.1427786524555239,0.81,0.784,0.05,0.09401012044091,0.906,0.888,0.0002239727391403,0.1575369808880265,0.792,0.76,0.0011192347150255
2,3,3,0.1458374027642584,0.816,0.74,0.05,0.1119998611216273,0.858,0.836,0.0004187353957418,0.1556873084171929,0.78,0.776,0.0002069669703209
2,3,4,0.140315281284724,0.806,0.792,0.05,0.074179681249634,0.918,0.916,0.000151910885623,0.1453397664091185,0.828,0.824,0.0001566046399757
2,4,0,0.111688068547807,0.87,0.872,0.05,0.0705823888288085,0.926,0.924,0.0003486025572726,0.1382435473026235,0.824,0.828,0.000303691726009
2,4,1,0.1203393979075076,0.838,0.832,0.05,0.0733310800833883,0.918,0.904,0.0004955132993863,0.1270272807936386,0.838,0.856,0.0005193660866391
2,4,2,0.125762983814423,0.832,0.84,0.05,0.0825073257415811,0.908,0.876,0.0003662390139652,0.1388830702043368,0.826,0.788,0.0004164470523282
2,4,3,0.1444952636039323,0.81,0.752,0.05,0.0953956584047732,0.888,0.88,0.0003743520830807,0.1561514867940848,0.796,0.748,7.361768905933399e-05
2,4,4,0.1136654878174494,0.854,0.852,0.05,0.071367252375107,0.918,0.908,0.000911350076471,0.1264838058130236,0.84,0.764,0.0001279537007011
2,5,0,0.1148801143328606,0.85,0.836,0.05,0.0622327525317118,0.93,0.936,0.0005489643951946,0.1136939411097556,0.862,0.856,0.0002651520158163
2,5,1,0.1125749186846941,0.866,0.832,0.05,0.0723941756614578,0.924,0.872,0.0003052455856149,0.1265278852796896,0.842,0.8,0.0005191425828626
2,5,2,0.1385424599345343,0.814,0.764,0.05,0.0793120141592843,0.902,0.868,0.0002727680816162,0.1518597463584171,0.794,0.716,0.0006317990551601
2,5,3,0.152270467944435,0.788,0.748,0.05,0.0799059356101467,0.91,0.904,0.0004675730877043,0.1599057064417957,0.772,0.72,0.000165016546613
2,5,4,0.104066768029898,0.874,0.844,0.05,0.0564965645905164,0.928,0.912,0.0005650203894384,0.1157162952188326,0.858,0.832,0.0003354940554724
2,6,0,0.1075041115208194,0.872,0.832,0.05,0.0719984685375964,0.924,0.916,0.0004716954750419,0.1203300678677113,0.846,0.856,0.0002929998520562
2,6,1,0.100233410085686,0.874,0.816,0.05,0.069149916848192,0.93,0.912,0.0004172114227597,0.1195599686931129,0.854,0.816,0.0004687319277494
2,6,2,0.1327732713935223,0.834,0.788,0.05,0.0789047850305788,0.918,0.896,0.0005375683938897,0.1499467156092174,0.784,0.736,0.0002110305051544
2,6,3,0.1468487956905122,0.798,0.748,0.05,0.0825235402250738,0.916,0.908,0.0003448015636167,0.1531119124033378,0.792,0.724,0.0002458595974587
2,6,4,0.1063333085843752,0.86,0.868,0.05,0.0684703023421154,0.928,0.936,0.0002145678101061,0.1064826683181957,0.858,0.852,0.0005312297494478
2,7,0,0.1051194134592261,0.868,0.88,0.05,0.0658135709696031,0.936,0.932,0.0002721508559793,0.119732908664416,0.844,0.832,0.0001975004766684
2,7,1,0.0912870884159891,0.9,0.868,0.05,0.0710707997688678,0.928,0.888,0.00018019714599,0.1189477669143789,0.842,0.812,0.0002295154807297
2,7,2,0.1306118159216056,0.826,0.808,0.05,0.0726389915120882,0.914,0.9,0.0002158244581495,0.1429242253554288,0.804,0.772,0.0002835136862545
2,7,3,0.1332996313951927,0.834,0.744,0.05,0.0800844318514706,0.926,0.912,0.000263290364665,0.1551299701706271,0.796,0.7,0.0003580578813553
2,7,4,0.1078534852992781,0.862,0.8,0.05,0.0597098181041944,0.93,0.944,0.0006118556567957,0.1211136957201529,0.846,0.852,0.0001592060427869
2,8,0,0.0862022524375063,0.9,0.904,0.05,0.0644812685594311,0.932,0.924,0.0005767123748152,0.1192568433323336,0.852,0.868,0.0004002533372847
2,8,1,0.1037435149338773,0.874,0.82,0.05,0.08044451351602,0.91,0.876,0.0001688371861538,0.122951912485674,0.826,0.78,0.0002073085580825
2,8,2,0.1456978750147182,0.812,0.78,0.05,0.0765539248324255,0.914,0.876,0.0002677888960314,0.1447419948796528,0.812,0.8,0.0002723547179152
2,8,3,0.1517296786987413,0.814,0.764,0.05,0.0831228302643537,0.91,0.868,0.0001749035366059,0.1661688895253197,0.78,0.744,0.0004373219856609
2,8,4,0.1107575036406391,0.846,0.82,0.05,0.0591081440256252,0.936,0.928,0.0001109647743537,0.1169508443338078,0.848,0.836,0.0002539113326996
