"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"11","326.1741461320083","318.76438486628126","4.972305689737398","-0.307214316560019","0.1422","0.1406","0.14380000000000004","1300","0.00017647221160174044","0","0.00017647221160174044","0.00017647221160174044","11_12:0.004891437472251847","11_12:660","true"
"12","241.48393006483496","126.48209225974828","4.936319107472835","-0.3079608272575031","0.011500000000000066","0.009000000000000008","0.014","1300","0.0001764512368155996","0","0.0001764512368155996","0.0001764512368155996","12_17:0.00524236673183201","12_17:660","true"
"13","240.19482257660425","61.33934943697585","5.005809502119509","-0.3067650398842775","0.015800000000000036","0.0116","0.020000000000000018","1300","0.0004944236744971475","0","0.0004944236744971475","0.0004944236744971475","13_12:0.008402259554581848","13_12:660","true"
"14","91.31828064931187","87.82979337740161","4.903344760967439","-0.308419961199297","0.017099999999999893","0.0176","0.016599999999999948","1300","0.0008560484929960079","0","0.0008560484929960079","0.0008560484929960079","14_0:0.010131135574118127;14_18:0.011422619782704674","14_0:660;14_18:660","true"
"15","296.5296445315935","40.57640144154761","4.947914953560998","-0.308052427832017","0.017100000000000004","0.016","0.018199999999999994","1300","0.0001510447814694085","0","0.0001510447814694085","0.0001510447814694085","15_22:0.004840644639003661","15_22:660","true"
"16","204.00470769998267","15.50566792115723","4.9603281019871295","-0.3076594514774509","0.014799999999999924","0.013399999999999967","0.0162","1300","0.0003973784254290435","0","0.0003973784254290435","0.0003973784254290435","16_8:0.009013870966235404;16_26:0.007007862363010986","16_8:660;16_26:660","true"
"17","267.32496025714505","341.92503946208984","4.820823460371974","-0.30970435909943395","0.009800000000000031","0.011399999999999966","0.0082","1300","0.00010607349760555377","0","0.00010607349760555377","0.00010607349760555377","17_30:0.007348071462165567","17_30:660","true"
"18","280.1735310231637","123.98461718820082","4.788139278987067","-0.31063598977187784","0.10509999999999997","0.10660000000000003","0.1036","1300","0.00015825615071151443","0","0.00015825615071151443","0.00015825615071151443","18_19:0.00736375798346578","18_19:660","true"
"19","238.6222650049499","77.18376040403713","4.7469924322616","-0.31072395279331844","0.08999999999999997","0.08799999999999997","0.092","1300","0.00027945144672730245","0","0.00027945144672730245","0.00027945144672730245","","","true"
"20","278.4349987743576","264.4596384630227","4.862313786651259","-0.3090978906556921","0.01539999999999997","0.0152","0.015599999999999947","1300","0.0001270738581367327","0","0.0001270738581367327","0.0001270738581367327","20_33:0.007902107225667476;20_19:0.006039723211838682","20_33:660;20_19:660","true"
"21","300.3438148152066","117.84647469022671","4.9664950331928335","-0.30694839478531033","0.00880000000000003","0.007000000000000006","0.0106","1300","0.00017989701157884613","0","0.00017989701157884613","0.00017989701157884613","21_20:0.005796317251381383;21_22:0.005497404616236878","21_20:660;21_22:660","true"
"22","252.08513783425707","154.5624879627331","5.038197876457438","-0.3065535436677073","0.01859999999999995","0.01859999999999995","0.0186","1300","0.00015992674995246725","0","0.00015992674995246725","0.00015992674995246725","22_23:0.006555297050831299","22_23:660","true"
"23","142.22506420990527","52.39725247886048","4.844974504703859","-0.309395699354676","0.022699999999999942","0.022","0.023399999999999976","1300","0.00025212097423175147","0","0.00025212097423175147","0.00025212097423175147","","","true"
"24","266.9932849351828","64.96732697361506","5.100790397005483","-0.3054983979252499","0.1605000000000001","0.0722","0.24880000000000002","1300","0.0002593821385778373","0","0.0002593821385778373","0.0002593821385778373","24_23:0.01121632731254052;24_34:1","24_23:660;24_34:660","true"
"25","238.8896649118856","270.76973634685214","4.945232228281061","-0.3084275156167526","0.011300000000000088","0.00660000000000005","0.016","1300","0.0001574359875830922","0","0.0001574359875830922","0.0001574359875830922","25_24:0.005679078331441989","25_24:660","true"
